Friday 29th,#,White ,Score,Black,Score,Referees,Penalties,,Comments
7:00 AM,,,,,,,,,
7:30 AM,1,SOA Mahurangi,2,SOA Nelson,2,SGA Epsom Girls,,,
#REF!,3,SOA HVHS,1,SOA WHS,0,SOB MAGS,,,
#REF!,5,SGA Epsom Girls,,SGA Nelson,,SOA Mahurangi,,,
#REF!,7,SGA Scots,,SGA WEGC,,SOA HVHS,,,
#REF!,9,SOB MAGS,,SOB Glendowie,,SGA Nelson,,,
#REF!,11,SOB Howick,,SOB HIBS,,SGA Scots,,,
#REF!,13,SGB Glendowie,,SGB WHS,,SOA Nelson,,,
#REF!,15,SGB Tauranga Girls,,SGB WGC,,SOB Glendowie,,,
#REF!,17,SOA Nelson,,SOA HVHS,,SGB WHS,,,
#REF!,19,SOA Tauranga Boys,,SOA Mahurangi,,SGB WGC,,,
#REF!,21,SOB Glendowie,,SOB Howick,,SGA Nelson,,,
#REF!,23,SOB Well Coll,,SOB MAGS,,SGA Mahurangi,,,
#REF!,25,SGB WHS,,SGB Tauranga Girls,,SOA HVHS,,,
#REF!,27,SGB Diocesan,,SGB Glendowie,,SOB Howick,,,
#REF!,29,SOA Nelson,,SOA WHS,,SGA WEGC,,,
#REF!,31,SOA HVHS,,SOA Tauranga Boys,,SGB Diocesan,,,
#REF!,33,SGA Scots,,SGA Mahurangi,,SOA WHS,,,
#REF!,35,SGA Nelson,,SGA WEGC,,SOA Tauranga Boys,,,
#REF!,37,SOB Howick,,SOB Well Coll,,SGA Mahurangi,,,
#REF!,39,SOB Glendowie,,SOB HIBS,,SGA WEGC,,,
#REF!,41,SGB Tauranga Girls,,SGB Diocesan,,SOB Well Coll,,,
#REF!,43,SGB WHS,,SGB WGC,,SOB HIBS,,,


